author,category,Year of publishing,grade,institution,isbn,lang,link,pages,pages_displayed,price,char_len_ref,subject,tags,text_len,title
Peter Schulz (Autor:in),Essay,2020,"1,3",Ernst-Moritz-Arndt-Universität Greifswald,9783346189240,de,https://www.hausarbeiten.de/document/889420,13,13 von 13 Seiten X- nach oben,Kostenlos,2187,Germanistik - Neuere Deutsche Literatur, Gegenwart Pixeltänzer Berit Glanz Jetzt Romantik Medien Start up Frauen Lavinia Toboggan Komet Der Sturm Fragment Hochschullehre ,29239,"Textgestaltungsverfahren im Roman ""Pixeltänzer"" als Schnittstelle zwischen Romantik und Gegenwart"
Student Thomas Roesnick (Autor:in),Hausarbeit,2021,"1,0",Humboldt-Universität zu Berlin,9783346600028,de,https://www.hausarbeiten.de/document/1180614,20,20 von 20 Seiten X- nach oben,Kostenlos,2050,Germanistik - Neuere Deutsche Literatur, Recht Der Verbrecher aus verlorener Ehre Friedrich Schiller Wolf ,42403,"Das Tierische im Wolfsgeiste in ""Der Verbrecher aus verlorener Ehre"" von Friedrich SchillerÜber den Zusammenhang der tierischen Natur eines Straftäters mit seiner geistigen"
Yue Xi (Autor:in),Akademische Arbeit,2021,"1,0",FernUniversität Hagen,9783346446367,de,https://www.hausarbeiten.de/document/1035784,27,27 von 27 Seiten X- nach oben,Kostenlos,6398,Germanistik - Neuere Deutsche Literatur, Lovecraft Videospiel Adaption Bloodborne ,54996,"‚Lovecraftian Horror‘. Zur visuell-narrativen Darstellung des ""namenlosen Grauens"" und des ""unsäglichen Schreckens"" im Videospiel Bloodborne (2015)"
Abdullah Sencan (Autor:in),Hausarbeit (Hauptseminar),2021,"1,7",Technische Universität Carolo-Wilhelmina zu Braunschweig,9783346384690,de,https://www.hausarbeiten.de/document/1005442,15,15 von 15 Seiten X- nach oben,Kostenlos,2357,Germanistik - Neuere Deutsche Literatur, Islam Germanistik Goethe Voltaire Prophet Muhammed Mahomet Islambild Prophetenbild Zeitgeist Orientalismus Orient Feindbild Westen Osten Westöstlicher-Divan Divan Annemarie Schimmel Karikatur Mommsen Goethe und der Islam Knebel Herder Le Fanatisme ou Mahomet Verstragödie Mohammed Muslime Muslim Europa ,33874,"Der Prophet Muhammed als Dramenfigur. Ein Vergleich des Voltairischen ""Mahomet"" und der Übertragung Goethes"
Maria Snow (Autor:in),Essay,2019,1.8,Martin-Luther-Universität Halle-Wittenberg,9783346338952,de,https://www.hausarbeiten.de/document/982747,10,10 von 10 Seiten X- nach oben,Kostenlos,228,"Germanistik - Komparatistik, Vergleichende Literaturwissenschaft", geschlechtscharakter rousseaus werk über erziehung eine analyse ,16102,"Der Geschlechtscharakter in Rousseaus Werk ""Émile und Über die Erziehung""Eine kurze Analyse"
Chris Zemmel (Autor:in),Hausarbeit (Hauptseminar),2020,"1,7",Eberhard-Karls-Universität Tübingen,9783346328458,de,https://www.hausarbeiten.de/document/976525,10,10 von 10 Seiten X- nach oben,Kostenlos,864,Germanistik - Neuere Deutsche Literatur, Radikalisierung Wahnsinnsdiskurs Georg Heym Georg Heym Alfred Döblin Alfred Döblin Sigmund Freud Psychoanalyse psychoanalytisch Gewalt Moderne Der Irre Verrücktheit Ermordung einer Butterblume Butterblume Irrenanstalt Neurasthenie Über-Ich Es Ich Interpretation Dissoziation animalisch ,23251,"Radikalisierung des Wahnsinnsdiskurses in Alfred Döblins ""Die Ermordung einer Butterblume"" und Georg Heyms ""Der Irre"". Ein psychoanalytischer Ansatz"
Natalie Meyer (Autor:in),Hausarbeit,2015,none,Universität Siegen,9783346154354,de,https://www.hausarbeiten.de/document/542604,20,20 von 20 Seiten X- nach oben,Kostenlos,2738,Germanistik - Neuere Deutsche Literatur, handkes hoca kuckucke nachschrift peter velika verwendung zeit ,33517,"Die Verwendung der Zeit in Peter Handkes Nachschrift ""Die Kuckucke von Velika Hoca"""
Renuprasad Patki (Autor:in),Essay,2015,none,none,9783346117670,de,https://www.hausarbeiten.de/document/518472,20,20 von 20 Seiten X- nach oben,Kostenlos,1215,Germanistik - Neuere Deutsche Literatur, liebeslyrik grenzen gemeinsamkeiten liebesgedichte ulla hahn kavita mahajan ,30372,Liebeslyrik ohne Grenzen. Gemeinsamkeiten der Liebesgedichte von Ulla Hahn und Kavita Mahajan
Nico Bornschein-Jäger (Autor:in),Projektarbeit,2019,"1,0",Universität Leipzig,9783346044617,de,https://www.hausarbeiten.de/document/501982,12,12 von 12 Seiten X- nach oben,Kostenlos,3093,Germanistik - Neuere Deutsche Literatur, Pop Popliteratur Faserland Christian Kracht ,24644,"Is dat Pop...literatur? Oder kann dat wech?Surface noise in Christian Krachts ""Faserland"""
Anna Gracheva (Autor:in),Essay,2016,"1,3",Ludwig-Maximilians-Universität München,9783346041272,de,https://www.hausarbeiten.de/document/503415,6,6 von 6 Seiten X- nach oben,Kostenlos,563,"Germanistik - Komparatistik, Vergleichende Literaturwissenschaft", Doppelgänger Doppelgängertum Hoffmann Sigmund Freud ,9810,Phänomene des Doppelgängers in „Das Unheimliche“ von Sigmund Freud
Julia Kleemayr (Autor:in),Hausarbeit,2019,"1,3",Universität Potsdam,9783668993853,de,https://www.hausarbeiten.de/document/494152,18,18 von 18 Seiten X- nach oben,Kostenlos,696,Germanistik - Neuere Deutsche Literatur, stefan zweig schachnovelle exil exilerfahrung hausarbeit seminar literatur ,32410,"Stefan Zweigs ""Schachnovelle"" und seine Exilerfahrung"
David Förtsch (Autor:in),Akademische Arbeit,2018,none,none,9783668795815,de,https://www.hausarbeiten.de/document/438018,51,51 von 51 Seiten X- nach oben,Kostenlos,2151,Germanistik - Neuere Deutsche Literatur, inzest bruder schwester erzählstrukturen roman mädchen˝ raya mann ,139290,"Inzest zwischen Bruder und Schwester. Erzählstrukturen im Roman ""Seltene Mädchen"" von Raya Mann"
Andy Bergmann (Autor:in),Hausarbeit (Hauptseminar),2017,"1,0",Universität Osnabrück,9783668722750,de,https://www.hausarbeiten.de/document/428153,26,26 von 26 Seiten X- nach oben,Kostenlos,3054,Germanistik - Neuere Deutsche Literatur, Autobiographie Weimarer Klassik 19. Jahrhundert Reisebericht ,73687,"Begegnung mit antiker Baukunst. Goethes Antikenrezeption in der ""Italienischen Reise"""
Rüdiger Tessmann (Autor:in),Essay,2018,none,none,9783668671775,de,https://www.hausarbeiten.de/document/418214,20,20 von 20 Seiten X- nach oben,Kostenlos,1016,Germanistik - Sonstiges, erzählung sandmann hoffmann sicht Student verfällt dem Wahnsinn Symptome einer Schizophrenie Eugen Bleuler ,29437,"Die Erzählung ""Der Sandmann"" von E.T.A. Hoffmann aus psychiatrischer Sicht"
Varia Antares (Autor:in),Hausarbeit,2016,"1,70",Universität Kassel,9783668574168,de,https://www.hausarbeiten.de/document/379315,16,16 von 16 Seiten X- nach oben,Kostenlos,454,"Germanistik - Komparatistik, Vergleichende Literaturwissenschaft", Die Küchenuhr Wolfgang Borchert Sprachliche Mittel ,19872,"Die Wirkung der sprachlichen Mittel in Wolfgang Borcherts ""Die Küchenuhr"""
Lennart Riepenhusen (Autor:in),Hausarbeit (Hauptseminar),2015,"2,0",Christian-Albrechts-Universität Kiel,9783668441286,de,https://www.hausarbeiten.de/document/359235,17,17 von 17 Seiten X- nach oben,Kostenlos,159,Germanistik - Neuere Deutsche Literatur, Zukunftsroman wilhelminisch kriegsroman zukunftskriegsroman seestern 1906 volkskörper artillerie seeschlacht splatter Massenschlacht 1. weltkrieg kaiserreich nationalismus ,38497,"Konstruktion und Dekonstruktion von Körpern in Ferdinand Grautoffs Zukunftskriegsroman ""1906. Der Zusammenbruch der alten Welt""Körpermassen/Massenkörper"
